Year,Wave,Fishing Mode,Fishing Area,Species Group,Sub Group,Observed Harvest (A),PSE,Reported Harvest (B1),PSE,Released Alive (B2),PSE,Total,Angler Trips,AngPSE
2010,MARCH/APRIL,SHORE,INLAND,CARTILAGINOUS FISHES,SKATES/RAYS,0,.,0,.,10143,105.8,10143,734575,19.1
2010,MARCH/APRIL,SHORE,INLAND,CATFISHES,FRESHWATER CATFISHES,35600,63.5,0,.,60656,68.6,96256,734575,19.1
2010,MARCH/APRIL,SHORE,INLAND,OTHER FISHES,OTHER FISHES,53567,60.7,0,.,284146,58.3,337713,734575,19.1
2010,MARCH/APRIL,SHORE,INLAND,TEMPERATE BASSES,STRIPED BASS,0,.,0,.,714968,84.8,714968,734575,19.1
2010,MARCH/APRIL,SHORE,INLAND,TEMPERATE BASSES,WHITE PERCH,1313617,60.8,0,.,1302508,82.8,2616125,734575,19.1
2010,MARCH/APRIL,PARTY BOAT,OCEAN (> 3 MI),CODS AND HAKES,ATLANTIC COD,0,.,0,.,47,100.9,47,788,8.6
2010,MARCH/APRIL,PARTY BOAT,OCEAN (> 3 MI),EELS,EELS,31,114.6,0,.,0,.,31,788,8.6
2010,MARCH/APRIL,PARTY BOAT,OCEAN (> 3 MI),SEA BASSES,BLACK SEA BASS,0,.,0,.,94,48.6,94,788,8.6
2010,MARCH/APRIL,PARTY BOAT,OCEAN (> 3 MI),WRASSES,CUNNER,0,.,0,.,63,85.4,63,788,8.6
2010,MARCH/APRIL,PARTY BOAT,OCEAN (> 3 MI),WRASSES,TAUTOG,1646,8.6,0,.,2278,35.5,3924,788,8.6
2010,MARCH/APRIL,PARTY BOAT,INLAND,TEMPERATE BASSES,STRIPED BASS,1,89.3,0,.,0,.,1,2,8.6
2010,MARCH/APRIL,CHARTER BOAT,INLAND,TEMPERATE BASSES,STRIPED BASS,6193,37.7,148,103.5,979,61.8,7320,6407,37.5
2010,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),WRASSES,TAUTOG,28680,100.8,66408,100.8,134696,100.8,229784,23772,100.8
2010,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),WRASSES,TAUTOG,13911,104.1,0,.,8115,104.1,22026,24344,104.1
2010,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,CARTILAGINOUS FISHES,SKATES/RAYS,0,.,0,.,2166,106.4,2166,398929,18.7
2010,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,CATFISHES,FRESHWATER CATFISHES,35606,89.5,0,.,64176,45.4,99782,398929,18.7
2010,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,FLOUNDERS,SUMMER FLOUNDER,2508,106.4,0,.,12596,106.4,15104,398929,18.7
2010,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,HERRINGS,HERRINGS,0,.,0,.,332994,93.6,332994,398929,18.7
2010,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,OTHER FISHES,OTHER FISHES,5261,100.6,0,.,201932,40.6,207193,398929,18.7
2010,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,TEMPERATE BASSES,STRIPED BASS,30534,86.5,2479,86.5,258738,43,291751,398929,18.7
2010,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,TEMPERATE BASSES,WHITE PERCH,258007,64.2,29667,106.5,242574,69.1,530248,398929,18.7
2010,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,WRASSES,TAUTOG,5282,110,0,.,21128,110,26410,398929,18.7
2010,MAY/JUNE,SHORE,OCEAN (<= 3 MI),BLUEFISH,BLUEFISH,56705,85.8,8507,101.5,16450,83.4,81662,106305,83.4
2010,MAY/JUNE,SHORE,OCEAN (<= 3 MI),CARTILAGINOUS FISHES,DOGFISH SHARKS,0,.,0,.,51686,61.4,51686,106305,83.4
2010,MAY/JUNE,SHORE,OCEAN (<= 3 MI),CARTILAGINOUS FISHES,OTHER SHARKS,0,.,0,.,24804,85.8,24804,106305,83.4
2010,MAY/JUNE,SHORE,OCEAN (<= 3 MI),CARTILAGINOUS FISHES,SKATES/RAYS,0,.,0,.,20859,71.4,20859,106305,83.4
2010,MAY/JUNE,SHORE,OCEAN (<= 3 MI),FLOUNDERS,SUMMER FLOUNDER,0,.,0,.,2127,101.5,2127,106305,83.4
2010,MAY/JUNE,SHORE,OCEAN (<= 3 MI),PUFFERS,PUFFERS,0,.,0,.,4151,85.8,4151,106305,83.4
2010,MAY/JUNE,SHORE,OCEAN (<= 3 MI),TEMPERATE BASSES,STRIPED BASS,8356,85.8,4151,85.8,8405,85.6,20912,106305,83.4
